Query,File Path,Execution Time (seconds),Total Execution Time,Memory Used Before,Memory Used After
1,POJ/61/510.txt,0.07350470824167132,0.07350470824167132,141.0,141.65625
2,POJ/61/538.txt,0.005089082755148411,0.07859379099681973,141.703125,141.703125
3,POJ/61/1537.txt,0.005140750203281641,0.08373454120010138,141.703125,141.703125
4,POJ/61/1251.txt,0.0051640840247273445,0.08889862522482872,141.703125,141.71875
5,POJ/61/921.txt,0.005879792384803295,0.09477841760963202,141.71875,141.71875
6,POJ/61/935.txt,0.004417375195771456,0.09919579280540347,141.734375,141.734375
7,POJ/61/1292.txt,0.005387083161622286,0.10458287596702576,141.734375,141.734375
8,POJ/61/29.txt,0.004879540763795376,0.10946241673082113,141.734375,141.734375
9,POJ/61/869.txt,0.005227874964475632,0.11469029169529676,141.734375,141.734375
10,POJ/61/1319.txt,0.004459333140403032,0.1191496248356998,141.734375,141.734375
11,POJ/61/855.txt,0.0044502499513328075,0.1235998747870326,141.734375,141.734375
12,POJ/61/1480.txt,0.0059969169087708,0.1295967916958034,141.75,141.75
13,POJ/61/114.txt,0.009999209083616734,0.13959600077942014,141.75,141.75
14,POJ/61/666.txt,0.004996541887521744,0.14459254266694188,141.75,141.765625
15,POJ/61/1127.txt,0.004256749991327524,0.1488492926582694,141.765625,141.765625
16,POJ/61/1133.txt,0.004347042180597782,0.1531963348388672,141.765625,141.765625
17,POJ/61/470.txt,0.004909750074148178,0.15810608491301537,141.765625,141.796875
18,POJ/61/129.txt,0.0047712079249322414,0.1628772928379476,141.796875,141.796875
19,POJ/61/101.txt,0.004470459185540676,0.16734775202348828,141.796875,141.796875
20,POJ/61/1481.txt,0.004749916959553957,0.17209766898304224,141.796875,141.796875
21,POJ/61/673.txt,0.004206833895295858,0.1763045028783381,141.796875,141.796875
22,POJ/61/1318.txt,0.00408658292144537,0.18039108579978347,141.796875,141.796875
23,POJ/61/14.txt,0.004443875048309565,0.18483496084809303,141.796875,141.796875
24,POJ/61/713.txt,0.0045889997854828835,0.18942396063357592,141.796875,141.796875
25,POJ/61/1293.txt,0.005609042011201382,0.1950330026447773,141.796875,141.8125
26,POJ/61/920.txt,0.004704959224909544,0.19973796186968684,141.8125,141.8125
27,POJ/61/908.txt,0.004759208299219608,0.20449717016890645,141.8125,141.828125
28,POJ/61/1522.txt,0.004289415664970875,0.20878658583387733,141.828125,141.828125
