Database Size,File Path,Execution Time (seconds)
1,POJ/61/510.txt,0.014915540989022702
2,POJ/61/538.txt,0.00432195799658075
3,POJ/61/1537.txt,0.004087000008439645
4,POJ/61/1251.txt,0.002649250003742054
5,POJ/61/921.txt,0.003637292014900595
6,POJ/61/935.txt,0.0034926660009659827
7,POJ/61/1292.txt,0.004749792016809806
8,POJ/61/29.txt,0.003050291008548811
9,POJ/61/869.txt,0.004055291996337473
10,POJ/61/1319.txt,0.0027355829952284694
11,POJ/61/855.txt,0.004774041997734457
12,POJ/61/1480.txt,0.002816375024849549
13,POJ/61/114.txt,0.004099500016309321
14,POJ/61/666.txt,0.004203333985060453
15,POJ/61/1127.txt,0.002342125022551045
16,POJ/61/1133.txt,0.0027018330001737922
17,POJ/61/470.txt,0.0022081659990362823
18,POJ/61/129.txt,0.003336750000016764
19,POJ/61/101.txt,0.003148165997117758
20,POJ/61/1481.txt,0.0040749589970801026
21,POJ/61/673.txt,0.0027712080045603216
22,POJ/61/1318.txt,0.003278166026575491
23,POJ/61/14.txt,0.00505658402107656
24,POJ/61/713.txt,0.002480707975337282
25,POJ/61/1293.txt,0.0036191249964758754
26,POJ/61/920.txt,0.0030407079902943224
27,POJ/61/908.txt,0.002809125027852133
28,POJ/61/1522.txt,0.003933707979740575
29,POJ/61/1536.txt,0.0035652919905260205
30,POJ/61/511.txt,0.003231124981539324
31,POJ/61/288.txt,0.0034987920080311596
32,POJ/61/1046.txt,0.005048666993388906
33,POJ/61/261.txt,0.0027458330150693655
34,POJ/61/1252.txt,0.003465334011707455
35,POJ/61/1534.txt,0.0025129999849013984
36,POJ/61/936.txt,0.002439000003505498
37,POJ/61/1508.txt,0.0037947499949950725
38,POJ/61/1285.txt,0.005472582997754216
39,POJ/61/705.txt,0.002886750007746741
40,POJ/61/739.txt,0.0034687090083025396
41,POJ/61/1332.txt,0.0035319999733474106
42,POJ/61/1440.txt,0.004566916002659127
43,POJ/61/1468.txt,0.003554499999154359
44,POJ/61/856.txt,0.003982333990279585
45,POJ/61/671.txt,0.0025956250028684735
46,POJ/61/1124.txt,0.005097332992590964
47,POJ/61/467.txt,0.004040500003611669
48,POJ/61/329.txt,0.0032820419874042273
49,POJ/61/1119.txt,0.0046806670143269
50,POJ/61/894.txt,0.0030967500060796738
51,POJ/61/880.txt,0.004659583006286994
52,POJ/61/116.txt,0.0032432079897262156
53,POJ/61/1482.txt,0.003580916003556922
54,POJ/61/17.txt,0.0032191670034080744
