Database Size,File Path,Execution Time (seconds)
1,POJ/61/510.txt,0.009373084001708776
2,POJ/61/538.txt,0.004817542008822784
3,POJ/61/1537.txt,0.00439225000445731
4,POJ/61/1251.txt,0.0031632079917471856
5,POJ/61/921.txt,0.0043829580245073885
6,POJ/61/935.txt,0.003786333021707833
7,POJ/61/1292.txt,0.002737000002525747
8,POJ/61/29.txt,0.0025602499954402447
9,POJ/61/869.txt,0.0022475000005215406
10,POJ/61/1319.txt,0.0022021250042598695
11,POJ/61/855.txt,0.0019665829895529896
12,POJ/61/1480.txt,0.0024481659929733723
13,POJ/61/114.txt,0.0018341659742873162
14,POJ/61/666.txt,0.0023396250035148114
15,POJ/61/1127.txt,0.002697165997233242
16,POJ/61/1133.txt,0.001812375005101785
17,POJ/61/470.txt,0.001877458009403199
18,POJ/61/129.txt,0.0015834579826332629
19,POJ/61/101.txt,0.0028378330171108246
20,POJ/61/1481.txt,0.0016396250284742564
21,POJ/61/673.txt,0.0021803750132676214
22,POJ/61/1318.txt,0.002978374977828935
23,POJ/61/14.txt,0.002422416990157217
24,POJ/61/713.txt,0.0018480000144336373
25,POJ/61/1293.txt,0.002477290981914848
26,POJ/61/920.txt,0.003760708001209423
27,POJ/61/908.txt,0.0016554589965380728
28,POJ/61/1522.txt,0.0024815420038066804
29,POJ/61/1536.txt,0.002445999998599291
30,POJ/61/511.txt,0.0017167079786304384
31,POJ/61/288.txt,0.0016864170029293746
32,POJ/61/1046.txt,0.0016141250089276582
33,POJ/61/261.txt,0.0025374999968335032
34,POJ/61/1252.txt,0.002630750008393079
35,POJ/61/1534.txt,0.0018549590022303164
36,POJ/61/936.txt,0.0018135829886887223
37,POJ/61/1508.txt,0.0017337080207653344
38,POJ/61/1285.txt,0.001763834006851539
39,POJ/61/705.txt,0.001516582997282967
40,POJ/61/739.txt,0.0016640840040054172
41,POJ/61/1332.txt,0.0021597089944407344
42,POJ/61/1440.txt,0.002094042021781206
43,POJ/61/1468.txt,0.0015920420119073242
44,POJ/61/856.txt,0.0015427500184159726
45,POJ/61/671.txt,0.002673375012818724
46,POJ/61/1124.txt,0.0016586250276304781
47,POJ/61/467.txt,0.001582166994921863
48,POJ/61/329.txt,0.0019463330099824816
49,POJ/61/1119.txt,0.0019444999925326556
50,POJ/61/894.txt,0.0019196660141460598
51,POJ/61/880.txt,0.0020891670137643814
52,POJ/61/116.txt,0.0015307909925468266
53,POJ/61/1482.txt,0.0017307919915765524
54,POJ/61/17.txt,0.002269166987389326
55,POJ/61/1290.txt,0.0016604579868726432
56,POJ/61/1284.txt,0.0029907920106779784
57,POJ/61/710.txt,0.0026689160149544477
58,POJ/61/1535.txt,0.0025596249906811863
59,POJ/61/1521.txt,0.0027605840004980564
60,POJ/61/1086.txt,0.0025447089865338057
61,POJ/61/1079.txt,0.0018244170059915632
62,POJ/61/1069.txt,0.0024379160022363067
63,POJ/61/270.txt,0.0025160000077448785
64,POJ/61/1082.txt,0.0026498330116737634
65,POJ/61/933.txt,0.0028220000094734132
66,POJ/61/1257.txt,0.0027556249988265336
67,POJ/61/1280.txt,0.0016769589856266975
68,POJ/61/1294.txt,0.00163033400895074
69,POJ/61/1479.txt,0.0017440830124542117
70,POJ/61/1445.txt,0.0015647090040147305
71,POJ/61/1323.txt,0.0017179579881485552
72,POJ/61/884.txt,0.0017197919951286167
73,POJ/61/890.txt,0.002385707979556173
74,POJ/61/1486.txt,0.00164804098312743
75,POJ/61/674.txt,0.0014645829796791077
76,POJ/61/489.txt,0.0017300409963354468
77,POJ/61/1135.txt,0.0014339580084197223
78,POJ/61/477.txt,0.0015541249886155128
79,POJ/61/311.txt,0.0019115829782094806
80,POJ/61/339.txt,0.0015627089887857437
81,POJ/61/885.txt,0.0014400410000234842
