Database Size,File Path,Execution Time (seconds)
1,POJ/61/510.txt,0.0024571249959990382
2,POJ/61/538.txt,0.0011432080063968897
3,POJ/61/1537.txt,0.001002917008008808
4,POJ/61/1251.txt,0.0009552920237183571
5,POJ/61/921.txt,0.00105516699841246
6,POJ/61/935.txt,0.0009704580006655306
7,POJ/61/1292.txt,0.0009424999880138785
8,POJ/61/29.txt,0.0009062080061994493
9,POJ/61/869.txt,0.0009316249925177544
10,POJ/61/1319.txt,0.0008574999810662121
11,POJ/61/855.txt,0.0008768749830778688
12,POJ/61/1480.txt,0.001949541998328641
13,POJ/61/114.txt,0.0016693330253474414
14,POJ/61/666.txt,0.0015821250271983445
15,POJ/61/1127.txt,0.0010211659828200936
16,POJ/61/1133.txt,0.0011424999975133687
17,POJ/61/470.txt,0.0017354169976897538
18,POJ/61/129.txt,0.0014715830038767308
19,POJ/61/101.txt,0.001260291988728568
20,POJ/61/1481.txt,0.001180750026833266
21,POJ/61/673.txt,0.0016469999973196536
22,POJ/61/1318.txt,0.0013548749848268926
23,POJ/61/14.txt,0.001101375004509464
24,POJ/61/713.txt,0.0011287090019322932
25,POJ/61/1293.txt,0.001215041003888473
26,POJ/61/920.txt,0.0019789159996435046
27,POJ/61/908.txt,0.0016201249964069575
28,POJ/61/1522.txt,0.0014310000115074217
29,POJ/61/1536.txt,0.0014797500043641776
30,POJ/61/511.txt,0.001463084015995264
31,POJ/61/288.txt,0.0017027499852702022
32,POJ/61/1046.txt,0.0016434160061180592
33,POJ/61/261.txt,0.0014227080100681633
34,POJ/61/1252.txt,0.0017846249975264072
35,POJ/61/1534.txt,0.0015007090114522725
36,POJ/61/936.txt,0.0016089999990072101
37,POJ/61/1508.txt,0.00225575000513345
38,POJ/61/1285.txt,0.0016324580064974725
39,POJ/61/705.txt,0.00179312500404194
40,POJ/61/739.txt,0.0018367909942753613
41,POJ/61/1332.txt,0.0032475829939357936
42,POJ/61/1440.txt,0.0016202919941861182
43,POJ/61/1468.txt,0.0014132079959381372
44,POJ/61/856.txt,0.0013445839867927134
45,POJ/61/671.txt,0.001409167016390711
46,POJ/61/1124.txt,0.002785791002679616
47,POJ/61/467.txt,0.001403250003932044
48,POJ/61/329.txt,0.0013454580039251596
49,POJ/61/1119.txt,0.001378334010951221
50,POJ/61/894.txt,0.0012953749974258244
51,POJ/61/880.txt,0.0014252080000005662
52,POJ/61/116.txt,0.001457542006392032
53,POJ/61/1482.txt,0.001443499990273267
54,POJ/61/17.txt,0.0014734999858774245
55,POJ/61/1290.txt,0.0014254589914344251
56,POJ/61/1284.txt,0.001609292026842013
57,POJ/61/710.txt,0.0013195420033298433
58,POJ/61/1535.txt,0.0019887920061592013
59,POJ/61/1521.txt,0.0014151659852359444
60,POJ/61/1086.txt,0.003470875002676621
61,POJ/61/1079.txt,0.0022807920177001506
62,POJ/61/1069.txt,0.001321125018876046
63,POJ/61/270.txt,0.0013212500198278576
64,POJ/61/1082.txt,0.0012512499815784395
65,POJ/61/933.txt,0.001309917017351836
66,POJ/61/1257.txt,0.0036395829811226577
67,POJ/61/1280.txt,0.002609708026284352
68,POJ/61/1294.txt,0.0010279580019414425
69,POJ/61/1479.txt,0.0009497499850112945
70,POJ/61/1445.txt,0.00086766600725241
71,POJ/61/1323.txt,0.0008865419949870557
72,POJ/61/884.txt,0.0008536250097677112
73,POJ/61/890.txt,0.0009347090090159327
74,POJ/61/1486.txt,0.000920833001146093
75,POJ/61/674.txt,0.0008117500110529363
76,POJ/61/489.txt,0.0009006659965962172
77,POJ/61/1135.txt,0.000877750018844381
78,POJ/61/477.txt,0.0008785420213826001
79,POJ/61/311.txt,0.0008334159792866558
80,POJ/61/339.txt,0.0007760000007692724
81,POJ/61/885.txt,0.0009275829943362623
82,POJ/61/1450.txt,0.0008359999919775873
83,POJ/61/1478.txt,0.000857457984238863
84,POJ/61/846.txt,0.0008495000074617565
85,POJ/61/1295.txt,0.0008063749992288649
86,POJ/61/1281.txt,0.0008555419917684048
87,POJ/61/729.txt,0.0008204170153476298
88,POJ/61/1530.txt,0.0007545419794041663
89,POJ/61/1256.txt,0.000748124992242083
90,POJ/61/926.txt,0.0007643339922651649
91,POJ/61/932.txt,0.0016513330047018826
92,POJ/61/1097.txt,0.0014934579958207905
93,POJ/61/517.txt,0.0007901669887360185
94,POJ/61/1040.txt,0.0009083749901037663
95,POJ/61/515.txt,0.0008200000156648457
96,POJ/61/273.txt,0.0008652500109747052
97,POJ/61/930.txt,0.0007696670072618872
98,POJ/61/918.txt,0.0008852079918142408
99,POJ/61/1532.txt,0.0008527919999323785
100,POJ/61/1526.txt,0.000821249996079132
101,POJ/61/688.txt,0.0009372080094181001
102,POJ/61/10.txt,0.0008932089840527624
103,POJ/61/1320.txt,0.001089584024157375
104,POJ/61/1446.txt,0.0011898329830728471
105,POJ/61/139.txt,0.0010689159971661866
106,POJ/61/111.txt,0.001059125002939254
107,POJ/61/1491.txt,0.0011274159769527614
108,POJ/61/663.txt,0.001216208009282127
109,POJ/61/449.txt,0.001123458001529798
110,POJ/61/306.txt,0.001069917023414746
111,POJ/61/312.txt,0.0010577090142760426
112,POJ/61/104.txt,0.0010745420004241168
113,POJ/61/1484.txt,0.0022198329970706254
114,POJ/61/886.txt,0.001195874996483326
115,POJ/61/892.txt,0.0010216250084340572
116,POJ/61/1453.txt,0.0011073330242652446
117,POJ/61/39.txt,0.00112674999400042
118,POJ/61/845.txt,0.0010597080108709633
119,POJ/61/851.txt,0.0012087500072084367
120,POJ/61/11.txt,0.0014382499794010073
121,POJ/61/1241.txt,0.0011337910254951566
122,POJ/61/919.txt,0.0011577910045161843
123,POJ/61/1533.txt,0.0012041250010952353
124,POJ/61/1269.txt,0.0011091250053141266
125,POJ/61/514.txt,0.0013407499936874956
126,POJ/61/266.txt,0.0013479590124916285
127,POJ/61/528.txt,0.001227083004778251
128,POJ/61/299.txt,0.001208208006573841
129,POJ/61/1030.txt,0.0013862919877283275
130,POJ/61/1018.txt,0.0012713330215774477
131,POJ/61/567.txt,0.0011127080069854856
132,POJ/61/229.txt,0.0011623750033322722
133,POJ/61/1540.txt,0.0013693749788217247
134,POJ/61/1568.txt,0.0012666249822359532
135,POJ/61/995.txt,0.00112900001113303
136,POJ/61/1420.txt,0.0013460000045597553
