Embedding Model,k,context window size,Mean Average Precision
ordis/jina-embeddings-v2-base-code,10,8192,0.9640953724477699
ordis/jina-embeddings-v2-base-code,50,8192,0.9054771523312285
ordis/jina-embeddings-v2-base-code,100,8192,0.8730981188084369
ordis/jina-embeddings-v2-base-code,300,8192,0.8023217842721393
llama3.2,10,8192,0.8843520026236369
llama3.2,50,8192,0.6185859245530588
llama3.2,100,8192,0.48171443108509315
llama3.2,300,8192,0.28580607687126086
